academic_year,division,sport_code,conference_id,conference
2025,1,MBA,818,Sun Belt
2025,1,MBA,819,Summit League
2025,1,MBA,820,Atlantic 10
2025,1,MBA,821,ACC
2025,1,MBA,823,American
2025,1,MBA,826,Big South
2025,1,MBA,827,Big Ten
2025,1,MBA,837,CAA
2025,1,MBA,838,Patriot
2025,1,MBA,845,America East
2025,1,MBA,846,NEC
2025,1,MBA,865,Ivy League
2025,1,MBA,871,MAAC
2025,1,MBA,875,MAC
2025,1,MBA,881,Horizon
2025,1,MBA,884,MVC
2025,1,MBA,902,OVC
2025,1,MBA,904,Big West
2025,1,MBA,911,SEC
2025,1,MBA,912,SoCon
2025,1,MBA,914,Southland
2025,1,MBA,916,SWAC
2025,1,MBA,920,ASUN
2025,1,MBA,922,WCC
2025,1,MBA,923,WAC
2025,1,MBA,5486,Mountain West
2025,1,MBA,24312,CUSA
2025,1,MBA,25354,Big 12
2025,1,MBA,30184,Big East
2025,1,MBA,99000,DI Independent
